threshold,f1,pred_positive_rate,pred_positives
0.10120080321285141,0.2822719449225473,0.998,499
0.10320481927710844,0.2822719449225473,0.998,499
0.10520883534136546,0.2822719449225473,0.998,499
0.10721285140562249,0.2822719449225473,0.998,499
0.10921686746987952,0.2822719449225473,0.998,499
0.11122088353413655,0.2822719449225473,0.998,499
0.11322489959839357,0.2822719449225473,0.998,499
0.1152289156626506,0.2822719449225473,0.998,499
0.11723293172690763,0.2822719449225473,0.998,499
0.11923694779116466,0.2822719449225473,0.998,499
0.12124096385542169,0.2822719449225473,0.998,499
0.12324497991967871,0.2822719449225473,0.998,499
0.12524899598393574,0.2822719449225473,0.998,499
0.12725301204819275,0.2822719449225473,0.998,499
0.1292570281124498,0.2822719449225473,0.998,499
0.13126104417670684,0.2822719449225473,0.998,499
0.13326506024096385,0.2822719449225473,0.998,499
0.1352690763052209,0.2822719449225473,0.998,499
0.1372730923694779,0.2822719449225473,0.998,499
0.13927710843373495,0.2822719449225473,0.998,499
0.14128112449799196,0.2822719449225473,0.998,499
0.143285140562249,0.2822719449225473,0.998,499
0.14528915662650602,0.2822719449225473,0.998,499
0.14729317269076306,0.2822719449225473,0.998,499
0.14929718875502007,0.2822719449225473,0.998,499
0.1513012048192771,0.2822719449225473,0.998,499
0.15330522088353413,0.2822719449225473,0.998,499
0.15530923694779117,0.2822719449225473,0.998,499
0.15731325301204818,0.2822719449225473,0.998,499
0.15931726907630522,0.2822719449225473,0.998,499
0.16132128514056224,0.2822719449225473,0.998,499
0.16332530120481928,0.2822719449225473,0.998,499
0.1653293172690763,0.2822719449225473,0.998,499
0.16733333333333333,0.2822719449225473,0.998,499
0.16933734939759035,0.2822719449225473,0.998,499
0.1713413654618474,0.2822719449225473,0.998,499
0.1733453815261044,0.2822719449225473,0.998,499
0.17534939759036144,0.2822719449225473,0.998,499
0.17735341365461846,0.2822719449225473,0.998,499
0.1793574297188755,0.2822719449225473,0.998,499
0.1813614457831325,0.2822719449225473,0.998,499
0.18336546184738955,0.2822719449225473,0.998,499
0.18536947791164657,0.2822719449225473,0.998,499
0.1873734939759036,0.2822719449225473,0.998,499
0.18937751004016062,0.2822719449225473,0.998,499
0.19138152610441767,0.2822719449225473,0.998,499
0.1933855421686747,0.2822719449225473,0.998,499
0.19538955823293172,0.2822719449225473,0.998,499
0.19739357429718876,0.2822719449225473,0.998,499
0.19939759036144578,0.2822719449225473,0.998,499
0.2,0.2822719449225473,0.998,499
0.001,0.281786941580756,1.0,500
0.003004016064257028,0.281786941580756,1.0,500
0.005008032128514056,0.281786941580756,1.0,500
0.007012048192771085,0.281786941580756,1.0,500
0.009016064257028111,0.281786941580756,1.0,500
0.011020080321285139,0.281786941580756,1.0,500
0.01302409638554217,0.281786941580756,1.0,500
0.015028112449799198,0.281786941580756,1.0,500
0.017032128514056225,0.281786941580756,1.0,500
0.019036144578313253,0.281786941580756,1.0,500
0.02104016064257028,0.281786941580756,1.0,500
0.023044176706827308,0.281786941580756,1.0,500
0.02504819277108434,0.281786941580756,1.0,500
0.027052208835341367,0.281786941580756,1.0,500
0.029056224899598394,0.281786941580756,1.0,500
0.031060240963855422,0.281786941580756,1.0,500
0.03306425702811245,0.281786941580756,1.0,500
0.03506827309236948,0.281786941580756,1.0,500
0.037072289156626505,0.281786941580756,1.0,500
0.03907630522088353,0.281786941580756,1.0,500
0.04108032128514056,0.281786941580756,1.0,500
0.04308433734939759,0.281786941580756,1.0,500
0.045088353413654615,0.281786941580756,1.0,500
0.04709236947791164,0.281786941580756,1.0,500
0.04909638554216868,0.281786941580756,1.0,500
0.051100401606425705,0.281786941580756,1.0,500
0.05310441767068273,0.281786941580756,1.0,500
0.05510843373493976,0.281786941580756,1.0,500
0.05711244979919679,0.281786941580756,1.0,500
0.059116465863453815,0.281786941580756,1.0,500
0.06112048192771084,0.281786941580756,1.0,500
0.06312449799196787,0.281786941580756,1.0,500
0.0651285140562249,0.281786941580756,1.0,500
0.06713253012048193,0.281786941580756,1.0,500
0.06913654618473895,0.281786941580756,1.0,500
0.07114056224899598,0.281786941580756,1.0,500
0.07314457831325301,0.281786941580756,1.0,500
0.07514859437751004,0.281786941580756,1.0,500
0.07715261044176706,0.281786941580756,1.0,500
0.07915662650602409,0.281786941580756,1.0,500
0.08116064257028112,0.281786941580756,1.0,500
0.08316465863453815,0.281786941580756,1.0,500
0.08516867469879517,0.281786941580756,1.0,500
0.0871726907630522,0.281786941580756,1.0,500
0.08917670682730923,0.281786941580756,1.0,500
0.09118072289156626,0.281786941580756,1.0,500
0.09318473895582328,0.281786941580756,1.0,500
0.09518875502008031,0.281786941580756,1.0,500
0.09719277108433735,0.281786941580756,1.0,500
0.09919678714859438,0.281786941580756,1.0,500
0.1,0.281786941580756,1.0,500
0.20140160642570282,0.18579234972677597,0.202,101
0.20340562248995983,0.18579234972677597,0.202,101
0.20540963855421687,0.18579234972677597,0.202,101
0.20741365461847389,0.18579234972677597,0.202,101
0.20941767068273093,0.18579234972677597,0.202,101
0.21142168674698794,0.18579234972677597,0.202,101
0.21342570281124498,0.18579234972677597,0.202,101
0.215429718875502,0.18579234972677597,0.202,101
0.21743373493975904,0.18579234972677597,0.202,101
0.21943775100401605,0.18579234972677597,0.202,101
0.2214417670682731,0.18579234972677597,0.202,101
0.2234457831325301,0.18579234972677597,0.202,101
0.22544979919678715,0.18579234972677597,0.202,101
0.22745381526104416,0.18579234972677597,0.202,101
0.2294578313253012,0.18579234972677597,0.202,101
0.23146184738955822,0.18579234972677597,0.202,101
0.23346586345381526,0.18579234972677597,0.202,101
0.23546987951807227,0.18579234972677597,0.202,101
0.23747389558232931,0.18579234972677597,0.202,101
0.23947791164658633,0.18579234972677597,0.202,101
0.24148192771084337,0.18579234972677597,0.202,101
0.24348594377510038,0.18579234972677597,0.202,101
0.24548995983935742,0.18579234972677597,0.202,101
0.24749397590361444,0.18579234972677597,0.202,101
0.24949799196787148,0.18579234972677597,0.202,101
0.2515020080321285,0.18579234972677597,0.202,101
0.2535060240963855,0.18579234972677597,0.202,101
0.25551004016064255,0.18579234972677597,0.202,101
0.2575140562248996,0.18579234972677597,0.202,101
0.25951807228915663,0.18579234972677597,0.202,101
0.2615220883534137,0.18579234972677597,0.202,101
0.26352610441767066,0.18579234972677597,0.202,101
0.2655301204819277,0.18579234972677597,0.202,101
0.26753413654618474,0.18579234972677597,0.202,101
0.2695381526104418,0.18579234972677597,0.202,101
0.27154216867469877,0.18579234972677597,0.202,101
0.2735461847389558,0.18579234972677597,0.202,101
0.27555020080321285,0.18579234972677597,0.202,101
0.2775542168674699,0.18579234972677597,0.202,101
0.2795582329317269,0.18579234972677597,0.202,101
0.279919678714856,0.18579234972677597,0.202,101
0.2815622489959839,0.18579234972677597,0.202,101
0.28356626506024096,0.18579234972677597,0.202,101
0.285570281124498,0.18579234972677597,0.202,101
0.287574297188755,0.18579234972677597,0.202,101
0.28957831325301203,0.18579234972677597,0.202,101
0.2915823293172691,0.18579234972677597,0.202,101
0.2935863453815261,0.18579234972677597,0.202,101
0.2955903614457831,0.18579234972677597,0.202,101
0.29759437751004014,0.18579234972677597,0.202,101
0.2995983935742972,0.18579234972677597,0.202,101
0.3,0.18579234972677597,0.202,101
0.3016024096385542,0.15492957746478872,0.12,60
0.3036064257028112,0.15492957746478872,0.12,60
0.30561044176706825,0.15492957746478872,0.12,60
0.3076144578313253,0.15492957746478872,0.12,60
0.30961847389558234,0.15492957746478872,0.12,60
0.3116224899598393,0.15492957746478872,0.12,60
0.31362650602409636,0.15492957746478872,0.12,60
0.3156305220883534,0.15492957746478872,0.12,60
0.31763453815261045,0.15492957746478872,0.12,60
0.31963855421686743,0.15492957746478872,0.12,60
0.3216425702811245,0.15492957746478872,0.12,60
0.3236465863453815,0.15492957746478872,0.12,60
0.32565060240963856,0.15492957746478872,0.12,60
0.3276546184738956,0.15492957746478872,0.12,60
0.3296586345381526,0.15492957746478872,0.12,60
0.3316626506024096,0.15492957746478872,0.12,60
0.33366666666666667,0.15492957746478872,0.12,60
0.3356706827309237,0.15492957746478872,0.12,60
0.3376746987951807,0.15492957746478872,0.12,60
0.33967871485943774,0.15492957746478872,0.12,60
0.3416827309236948,0.15492957746478872,0.12,60
0.3436867469879518,0.15492957746478872,0.12,60
0.3456907630522088,0.15492957746478872,0.12,60
0.34769477911646585,0.15492957746478872,0.12,60
